MAKE,MODEL,AAGUID
Apple,FaceID,(all zeroes)
Apple,TouchID,(all zeroes)
Atos,CardOS FIDO2,1c086528-58d5-f211-823c-356786e36140
AuthenTrend,ATKey.Pro,e1a96183-5016-4f24-b55b-e3ae23614cc6
Feitian,ePassFIDO K10,833b721a-ff5f-4d00-bb2e-bdda3ec01e29
Feitian,ePassFIDO A4B,833b721a-ff5f-4d00-bb2e-bdda3ec01e29
Feitian,ePassFIDO K28,833b721a-ff5f-4d00-bb2e-bdda3ec01e29
Feitian,ePassFIDO K39,ee041bce-25e5-4cdb-8f86-897fd6418464
Feitian,ePassFIDO NFC K9,ee041bce-25e5-4cdb-8f86-897fd6418464
Feitian,ePassFIDO NFC Plus K9,ee041bce-25e5-4cdb-8f86-897fd6418464
Feitian,ePassFIDO NFC K40,ee041bce-25e5-4cdb-8f86-897fd6418464
Feitian,ePassFIDO NFC Plus K40,ee041bce-25e5-4cdb-8f86-897fd6418464
Feitian,MultiPass FIDO K13,310b2830-bd4a-4da5-832e-9a0dfc90abf2
Feitian,MultiPass FIDO K25,310b2830-bd4a-4da5-832e-9a0dfc90abf2
Feitian,BioPass FIDO K26,77010bd7-212a-4fc9-b236-d2ca5e9d4084
Feitian,BioPass FIDO Plus K26,b6ede29c-3772-412c-8a78-539c1f4c62d2
Feitian,BioPass FIDO K27,77010bd7-212a-4fc9-b236-d2ca5e9d4084
Feitian,BioPass FIDO Plus K27,b6ede29c-3772-412c-8a78-539c1f4c62d2
Feitian,BioPass FIDO K45,77010bd7-212a-4fc9-b236-d2ca5e9d4084
Feitian,BioPass FIDO Plus K45,b6ede29c-3772-412c-8a78-539c1f4c62d2
Feitian,AllinPass FIDO K33,12ded745-4bed-47d4-abaa-e713f51d6393
Feitian,AllinPass FIDO K43,12ded745-4bed-47d4-abaa-e713f51d6393
Feitian,iePass FIDO K44,6e22415d-7fdf-4ea4-8a0c-dd60c4249b9d
Feitian,FIDO Java Card,2c0df832-92de-4be1-8412-88a8f074df4a
Feitian,FIDO Fingerprint Card,8c97a730-3f7b-41a6-87d6-1e9b62bda6f0
Google,Titan Security Key v2,42b4fb4a-2866-43b2-9bf7-6c6669c2e5d3
GoTrust,Idem Key,3b1adb99-0dfe-46fd-90b8-7f7614a4de2a
GoTrust,Idem Card,9f0d8150-baa5-4c00-9299-ad62c8bb4e87
HID,Crescendo C2300,aeb6569c-f8fb-4950-ac60-24ca2bbe2e52
HID,Crescendo Key,692db549-7ae5-44d5-a1e5-dd20a493b723
HyperSecu,Hyper FIDO Bio Security Key,d821a7d4-e97c-4cb6-bd82-4237731fd4be
HyperSecu,Hyper FIDO Pro,9f77e279-a6e2-4d58-b700-31e5943c6a98
Microsoft,Windows Hello Software Authenticator,6028b017-b1d4-4c02-b4b3-afcdafc96bb2
Microsoft,Windows Hello Hardware Authenticator,08987058-cadc-4b81-b6e1-30de50dcbe96
Microsoft,Windows Hello VBS Hardware Authenticator,9ddd1817-af5a-4672-a2b9-3e3dd95000a9
Octatco,EzFinger2,a1f52be5-dfab-4364-b51c-2bd496b14a56
Octatco,EzFinger2,bc2fe499-0d8e-4ffe-96f3-94a82840cf8c
Precision,InnaIT Key,88bbd2f0-342a-42e7-9729-dd158be5407a
Thales,eToken FIDO,efb96b10-a9ee-4b6c-a4a9-d32125ccd4a4
Thales,IDPrime MD 3940 FIDO,b50d5e0a-7f81-4959-9b12-f45407407503
TrustKey,G310,95442b2e-f15e-4def-b270-efb106facb4e
TrustKey,G310H,95442b2e-f15e-4def-b270-efb106facb4e
TrustKey,G320,87dbc5a1-4c94-4dc8-8a47-97d800fd1f3c
TrustKey,G320H,87dbc5a1-4c94-4dc8-8a47-97d800fd1f3c
TrustKey,T110,da776f39-f6c8-4a89-b252-1d86137a46ba
TrustKey,T120,e3512a8a-62ae-11ea-bc55-0242ac130003
Vancosys,Android Authenticator,39a5647e-1853-446c-a1f6-a79bae9f5bc7
Vancosys,iOS Authenticator,820d89ed-d65a-409e-85cb-f73f0578f82a
WiSECURE,AuthTron,504d7149-4e4c-3841-4555-55445a677357
Yubico,Yubikey 5 (USB-A No NFC),cb69481e-8ff7-4039-93ec-0a2729a154a8
Yubico,YubiKey 5 (USB-A No NFC),ee882879-721c-4913-9775-3dfcce97072a
Yubico,YubiKey 5 NFC,fa2b99dc-9e39-4257-8f92-4a30d23c4118
Yubico,YubiKey 5 NFC,2fc0579f-8113-47ea-b116-bb5a8db9202a
Yubico,YubiKey 5 NFC,a25342c0-3cdc-4414-8e46-f4807fca511c
Yubico,YubiKey 5 NFC,1ac71f64468d4fe0bef10e5f2f551f18
Yubico,YubiKey 5 NFC FIPS,c1f9a0bc-1dd2-404a-b27f-8e29047a43fd
Yubico,YubiKey 5 NFC,1ac71f64-468d-4fe0-bef1-0e5f2f551f18
Yubico,YubiKey 5C NFC,a25342c0-3cdc-4414-8e46-f4807fca511c
Yubico,YubiKey 5C NFC,1ac71f64468d4fe0bef10e5f2f551f18
Yubico,YubiKey 5 Nano,cb69481e-8ff7-4039-93ec-0a2729a154a8
Yubico,YubiKey 5 Nano,ee882879-721c-4913-9775-3dfcce97072a
Yubico,YubiKey 5 Nano FIPS,73bb0cd4-e502-49b8-9c6f-b59445bf720b
Yubico,YubiKey 5 Nano,19083c3d-8383-4b18-bc03-8f1c9ab2fd1b
Yubico,YubiKey 5 Nano,20ac7a17c814483393fe539f0d5e3389
Yubico,YubiKey 5 Nano,20ac7a17-c814-4833-93fe-539f0d5e3389
Yubico,YubiKey 5C,cb69481e-8ff7-4039-93ec-0a2729a154a8
Yubico,YubiKey 5C,ee882879-721c-4913-9775-3dfcce97072a
Yubico,YubiKey 5C,20ac7a17c814483393fe539f0d5e3389
Yubico,YubiKey 5C,19083c3d-8383-4b18-bc03-8f1c9ab2fd1b
Yubico,YubiKey 5C FIPS,73bb0cd4-e502-49b8-9c6f-b59445bf720b
Yubico,YubiKey 5C,20ac7a17-c814-4833-93fe-539f0d5e3389
Yubico,YubiKey 5C Nano,cb69481e-8ff7-4039-93ec-0a2729a154a8
Yubico,YubiKey 5C Nano,ee882879-721c-4913-9775-3dfcce97072a
Yubico,YubiKey 5C Nano FIPS,73bb0cd4-e502-49b8-9c6f-b59445bf720b
Yubico,YubiKey 5C Nano,20ac7a17-c814-4833-93fe-539f0d5e3389
Yubico,YubiKey 5C NFC,2fc0579f-8113-47ea-b116-bb5a8db9202a
Yubico,YubiKey 5C NFC FIPS,c1f9a0bc-1dd2-404a-b27f-8e29047a43fd
Yubico,YubiKey 5Ci,c5ef55ff-ad9a-4b9f-b580-adebafe026d0
Yubico,YubiKey 5Ci FIPS,85203421-48f9-4355-9bc8-8a53846e5083
Yubico,YubiKey 5Ci,b90e7dc1316e4feea25a56a666a670fe
Yubico,YubiKey 5Ci,a02167b9-ae71-4ac7-9a07-06432ebb6f1c
Yubico,YubiKey 5Ci,b90e7dc1-316e-4fee-a25a-56a666a670fe
Yubico,Security Key By Yubico,f8a011f3-8c0a-4d15-8006-17111f9edc7d
Yubico,Security Key By Yubico,b92c3f9a-c014-4056-887f-140a2501163b
Yubico,Security Key NFC,6d44ba9b-f6ec-2e49-b930-0c8fe920cb73
Yubico,Security Key NFC,149a2021-8ef6-4133-96b8-81f8d5b7f1f5
Yubico,Security Key NFC by Yubico,a4e9fc6d-4cbe-4758-b8ba-37598bb5bbaa
Yubico,Security Key NFC by Yubico - Enterprise Edition,0bb43545-fd2c-4185-87dd-feb0b2916ace
Yubico,Security Key NFC - Enterprise Edition,9ff4cc65-6154-4fff-ba09-9e2af7882ad2
Yubico,Security Key NFC - Enterprise Edition,47ab2fb4-66ac-4184-9ae1-86be814012d5
Yubico,Security Key NFC,e77e3c64-05e3-428b-8824-0cbeb04b829d
Yubico,YubiKey Bio Series,d8522d9f-575b-4866-88a9-ba99fa02f35b
Yubico,YubiKey Bio Series - Multi-protocol Edition,7d1351a6-e097-4852-b8bf-c9ac5c9ce4a3
Yubico,YubiKey Bio Series - Multi-protocol Edition,90636e1f-ef82-43bf-bdcf-5255f139d12f
Yubico,YubiKey Bio Series - FIDO Edition,8c39ee86-7f9a-4a95-9ba3-f6b097e5c2ee
Yubico,YubiKey Bio Series - Multi-protocol Edition,68167692-ff5a-4ac8-9fd7-0be292a1af68
Yubico,YubiKey Bio Series - Multi-protocol Edition,97e6a830-c952-4740-95fc-7c78dc97ce47


